Name,RA,Dec,Const,Type,DimMax,DimMin,Vis,Brightness,Color,Shape,Structure,HD,*Mag,*Spec,Notes
Ic 1275,18 10.0,-23 50,Sgr,E,10,6, ,1,R,C,A,166107,7.96,B5V,"Adjacent to dark nebula B91"
NGC 6559,18 10.0,-24 06,Sgr,E,8,5,vF,1,R,Ir,AF, ,9.8,B1,"Gum 75, RCW 146"
Sh2-35,18 15.9,-20 15,Sgr,E,10,7, ,4,R,Ir,A,167264,5.38,BOIa,"Gum 77b, RCW 151"
NGC 6589,18 16.3,-19 48,Sgr,R,5,4,eF,1,MB, , ,167638,9.4,B5, ,
IC 4701,18 16.5,-16 44,Sgr,E,60,40, ,4,R,Ir,AF,NGC 6596, , ,"Gum 79, RCW 157, with IC 4715 f"
"NGC 6590,95",18 17.0,-19 53,Sgr,R,4,2,pF,1,MB, , , ,10.2,B6,"Same as IC 4700"
Ic 1283-4,18 17.8,-19 40,Sgr,E+R,17,15, ,2,R,Ir,AF,167815,7.56,B2,"Gum 78, RCW 153"
NGC 6604,18 17.9,-11 44,SerCd,E,60,30, ,1,R,Ir,F,NGC 6604, , ,"Gum 84-85, RCW 167"
NGC 6611,18 18.8,-13 47,SerCd,E,35,28, ,1,R,Ir,F,NGC 6611, , ,"Eagle nebula and cluster M16. (IC 4703 refers to nebula only.)"
IC 4715,18 19.9,-17 59,Sgr,E,30,5, ,2,VR, , , , , ,"Star cloud"
NGC 6618,18 20.8,-16 11,Sgr,E,46,37,B,1,R,Ir,F,NGC 6618, , ,"Omega nebula M17. IC 4706-7 10' n"
Sh2-53,18 25.2,-13 13,Sct,E,15, , ,3,Ir,AF, , , , , ,
vdB 123,18 30.5,+1 11,SerCd,R,10,5, ,3,MB, , ,170634,9.1,AO, ,
IC 1287,18 31.3,-10 50,Sct,R,44,34, ,3, , ,VB,170740,5.5,B2V, ,
Sh2-64,18 31.6,-1 55,SerCd,E,20,8, ,2,R,Ir,AF, , , , ,
Sh2-55,18 32.2,-11 46,Sct,E,20,20, ,6,B,Ir,AF, , , , ,
NGC 6726-7,19 01.7,-36 53,CrA,R,2,2,F, , , , ,176386,7.20,AOV,"Double, near dark nebula Bernes 157"
NGC 6729,19 01.9,-36 57,CrA,E+R,1, , , , , , ,R Cra,9.7 v,F5pe,"Cometary, with varying size"
Sh2-72,19 03.8,+2 19,Agl,E,25, , ,5, ,Ir,AF, , , , ,
IC 4812,19 05.2,-37 03,CrA,R?, , , , , , , ,176269,6.69,B9V, ,
vdB 126,19 27.1,+22 43,Vul,R,7,5, ,2,VB, , ,182918,8.3,A2, ,
Sh2-82,19 30.3,+18 16,Sge,E+R,7,7, ,3, ,Ir,A,231616,10.7,BO, ,
Sh2-91,19 35.6,+29 37,Cyg,E,120,2, ,4,R,Ir,F, , , ,"Long thin filament. SNR"
M1-92,19 36.3,+29 33,Cyg,R,0.2,0.1, ,2, , , , , , ,"Footprint nebula"
NGC 6813,19 40.4,+27 18,Vul,E,3, ,vF,3, ,Ir, , , , , ,
NGC 6820,19 43.1,+23 17,Vul,E,40,30,F,3,R,C,AF,NGC 6823, , , ,
Sh2-88,19 46.0,+25 20,Vul,E,18,6, ,3,R,Ir,AF,338916, ,B,"Has two small, brighter knots"
Sh2-84,19 49.0,+18 24,Sge,E,15,3, ,3,R,Ir,AF,187323,8.0,B5.5V
Sh2-90,19 49.3,+26 52,Vul,E,8,3, ,2,R,Ir,AF, , , , ,
Sh2-101,20 00.0,+35 17,Cyg,E,16,9, ,2,R,Ir,AF,227018,8.99,07,"Near dark nebula B144"
Ced 174,20 02.8,+36 58,Cyg,E,15,5, ,3,R, , , , , , ,
vdB 128,20 04.6,+32 15,Cyg,R,8, , ,4,I, , ,190603,5.63,B1.5Ia, ,
IC 4954-5,20 04.8,+29 15,Vul,R,25, , ,2,B, , , , , ,"Three bright components"
IC 1311,20 10.8,+41 11,Cyg,E,60,20,eF,2,R,Ir,AF,194093,2.20,F8Ib, ,
